상품코드,이미지,상품명,가격,중량,구분,조회수,재고
5010753,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1528770286903l0.jpg,[미자언니네] 연잎밥,5848,1팩,도시락/밥류,943,400
1000242164,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/dc61cbf7-f49c-4807-932b-1bf57f5ea04c.jpg,[청정원] 그레인보우 4종 (2입) (택1),5960,1개(200g*2봉),도시락/밥류,593,267
5069130,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/057e4ffa-c3af-4029-917f-8ed601a30976.jpg,[풀무원] 꼬마 유부초밥,3280,1봉,도시락/밥류,269,174
1001207777,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/b21277c0-528b-4e5f-aaaa-cbac6b5ea1b2.jpg,[오뚜기] 가뿐한끼 100% 현미로 지은 부드러운 현미밥 130g*30입,28900,1박스,도시락/밥류,887,457
1000347344,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/06ec8694-aa37-4ce1-b854-f8f38fe2af8b.jpg,[햇반/쿡반] 만능계란볶음밥 400G,3300,1개 (2봉),도시락/밥류,159,436
1000243875,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/053089bc-b764-4a95-a0a8-4e12bcb2aa38.jpg,[어리틀빗] 웜그레인 샐러드 9종 (택1),5900,1통,도시락/밥류,288,105
1001946224,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/7647696e-d2f0-4d45-a7f2-d38e1733c0a5.jpg,[차려낸] 국산 나물이 듬뿍 모둠나물밥 (4개입),10960,1팩 (4개입),도시락/밥류,900,31
5155727,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1657519757995l0.jpg,[탄단지] 닭가슴살 곤약볶음밥 4종 (4개입) (택1),11300,1봉,도시락/밥류,459,193
1001084617,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/aee0f8e7-b29d-4081-896a-dda4a6ea8b90.jpg,[동원] 양반100밥 현미밥 130g*24입,20780,1박스,도시락/밥류,538,70
1000376683,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/168c0a33-c333-451d-9f9e-9bc345e7feaf.jpg,[탄단지] 세끼 뚝딱 도시락 3종 세트,9900,1묶음(3팩),도시락/밥류,423,225
1000392404,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/d2e87ee0-8948-49ec-a001-e848f9eab72c.jpg,[푸디버디] 어린이 볶음밥 2개입 8종 (택2),5400,1세트(2개입),도시락/밥류,883,458
1000635408,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/992d086a-1a9d-4ba7-87d2-3dd80336220b.jpg,[청정원] 그레인보우 스파이시 치킨 아보카도 2개입 ,5980,2개(200g * 2입),도시락/밥류,209,330
1001170120,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/1a693ba1-fc91-41cd-9cbb-1d0f2a70e0b1.jpg,[제일맞게컬리] 김치베이컨 현미곤약 주먹밥,8980,1팩 (5개입),도시락/밥류,611,323
5110300,https://img-cf.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/shop/data/goods/1641365202636l0.jpg,[오뚜기] 옛날 구수한 누룽지 60g * 5개입,5030,1박스,도시락/밥류,602,122
1000085902,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/94674fcf-deed-4331-babb-5b42cc84f388.jpg,[LITTLENECK] 리틀넥 비프 머쉬룸 리조또,14900,1팩,도시락/밥류,408,134
1001985687,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/aba7849e-43cd-47b8-9559-a1d1b033ba40.jpg,[햇반] 발아현미밥 작은공기 130G * 36입,39900,,도시락/밥류,808,155
1001335491,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/ef1fe563-c0e9-449a-97a7-cdfcb6239e19.jpg,[동원] 양반100밥 130gx6입 4종 (택1),5980,1묶음,도시락/밥류,734,40
1001381990,https://product-image.kurly.com/hdims/resize/%5E%3E720x%3E936/cropcenter/720x936/quality/85/src/product/image/c3574877-e5bb-4c37-bb54-a2c7f921f2f0.jpg,[다즐샵] 토핑 듬뿍 마요 덮밥 3종 (택1),5400,1팩,도시락/밥류,177,250
